source,destination,type,segments
/browse/abroad/travel-abroad/education-materials-about-overseas-travel,/topic/help-british-nationals-overseas/advice-all-countries,,
/browse/business/imports-exports/export-finance,/topic/business-enterprise/export-finance,,
/browse/business/limited-company/business-auditing-accounting-and-reporting,/topic/business-enterprise/business-auditing-accounting-reporting,,
/browse/business/waste-environment/assessing-environmental-impact,/topic/environmental-management/assessing-environmental-impact,,
/browse/business/waste-environment/carbon-reduction-initiatives,/topic/climate-change-energy/low-carbon-energy,,
/browse/citizenship/coasts-countryside/wildlife-and-habitat-conservation,/topic/environmental-management/wildlife-habitat-conservation,,
/browse/citizenship/government/emergencies-preparation-response-and-recovery,/topic/public-safety-emergencies/emergencies-preparation-response-recovery,,
/browse/citizenship/international-development/country-regional-funding,/international-development-funding,,
/browse/driving/businesses/making-transport-more-accessible,/government/collections/blue-badge-scheme,,
/browse/driving/businesses/transport-planning-and-infrastructure,/topic/transport/planning-infrastructure,,
/browse/education/student-finance/scholarships-for-overseas-students,/topic/higher-education/scholarships-for-overseas-students,,
/business-expansion-support-orkney,/business-finance-support,,
/business-legal-structures/business-partnership,/set-up-business-partnership,,
/buy-sell-your-home/buying-with-other-people,/joint-property-ownership,,
/childcare-tax-credits/how-to-claim,/help-with-childcare-costs/tax-credits,,
/deposit-foreign-marriage/confirm,/government/news/marriage-certificate-registry-service-discontinued-for-overseas-brits,,
/driver-certificate-of-professional-competence-cpc/driver-cpc-fees,/become-lorry-bus-driver/fees,,
/expenses-and-benefits-prizes-cash-prizes,/running-payroll/payments,,
/feed-in-tarriffs-money-for-generating-electricity,/feed-in-tariffs,prefix,
/government/organisations/animal-plant-and-health-agency,/government/organisations/animal-and-plant-health-agency,,
/government/organisations/cabinet-office/groups/cabinet-office-board,/government/organisations/cabinet-office-board,,
/government/organisations/department-for-communities-and-local-government/groups/executive-team-committee,/government/organisations/department-for-communities-and-local-government/about/our-governance,,
/government/organisations/home-office/groups/national-dna-database-strategy-board,/government/groups/national-dna-database-strategy-board,,
/government/organisations/national-security/groups/intelligence-and-security-committee,/government/groups/intelligence-and-security-committee,,
/government/publications/civil-service-analytical-fast-streams/fast-stream-government-social-research-service,/government/news/new-fast-stream-website--2,,
/government/publications/government/publications/help-and-support-for-young-disabled-people-to-find-and-stay-in-work/help-and-support-for-young-disabled-people-to-find-and-stay-in-work,/government/publications/help-and-support-for-young-disabled-people-to-find-and-stay-in-work/help-and-support-for-young-disabled-people-to-find-and-stay-in-work,,
/government/statistics/announcements/personnel-statistics-for-the-northern-ireland-civil-service-2013--2,/government/statistics/personnel-statistics-for-the-northern-ireland-civil-service-1-april-2014,,
/government/topics/economic-growth,/government/topics/uk-economy,,
/government/uploads/system/uploads/attachment_data/file/193502/january-2013.xls,/government/uploads/system/uploads/attachment_data/file/451853/dft-30-day-prompt-payment-data-2013.csv,,
/government/uploads/system/uploads/attachment_data/file/193504/march-2013.xls,/government/uploads/system/uploads/attachment_data/file/451853/dft-30-day-prompt-payment-data-2013.csv,,
/highway-code/contents,/guidance/the-highway-code,,
/how-to-send-self-assessment-online/overview,/self-assessment-tax-returns/sending-return,,
/how-to-send-self-assessment-online/use-the-free-self-assessment-online-service-,/self-assessment-tax-returns/sending-return,,
/importing-and-exporting-by-post/exporting-by-post,/goods-sent-from-abroad,,
/importing-vehicles-into-the-uk/vat-and-tax-vehicles-from-within-the-eu,/importing-vehicles-into-the-uk/telling-hmrc,,
/motorcycle-practical-test/motorcycle-practical-test-fees-,/driving-test-cost,,
/national-insurance-contributions-for-employers/overview,/national-insurance-rates-letters/contribution-rates,,
/practical-driving-test-for-cars/practical-driving-test-fees,/driving-test-cost,,
/road-users-requiring-extra-care-204-to-225/other-road-users-214-to-218,/guidance/the-highway-code/road-users-requiring-extra-care-204-to-225,,
/rules-drivers-motorcyclists-89-to-102/vehicle-condition-89,/guidance/the-highway-code/rules-for-drivers-and-motorcyclists-89-to-102,,
